Date,Open,Max,Min,Close,Volume
2016-02-19,1.55,1.55,1.55,1.55,5029
2016-02-22,1.56,1.59,1.55,1.59,7194
2016-02-23,1.59,1.59,1.57,1.59,1064
2016-02-24,1.59,1.59,1.57,1.59,77
2016-02-25,1.59,1.59,1.58,1.59,232
2016-02-26,1.59,1.59,1.57,1.59,147
2016-02-29,1.57,1.59,1.57,1.59,2351
2016-03-01,1.59,1.59,1.58,1.59,331
2016-03-02,1.59,1.59,1.59,1.59,29
2016-03-03,1.59,1.65,1.59,1.65,10699
2016-03-04,1.65,1.7,1.64,1.7,16829
2016-03-07,1.7,1.7,1.63,1.68,2323
2016-03-08,1.6,1.66,1.59,1.65,4438
2016-03-09,1.66,1.66,1.59,1.64,2687
2016-03-10,1.63,1.64,1.62,1.64,4932
2016-03-11,1.58,1.61,1.52,1.61,17664
2016-03-14,1.64,1.64,1.61,1.61,268
2016-03-15,1.62,1.62,1.57,1.62,1503
2016-03-16,1.57,1.62,1.57,1.62,3112
2016-03-17,1.62,1.62,1.62,1.62,1108
2016-03-18,1.62,1.62,1.62,1.62,2715
2016-03-21,1.62,1.62,1.61,1.62,4514
2016-03-22,1.45,1.59,1.45,1.58,24785
2016-03-23,1.59,1.7,1.59,1.66,18505
2016-03-24,1.7,1.7,1.67,1.69,3200
2016-03-29,1.7,1.7,1.63,1.69,12849
2016-03-30,1.67,1.67,1.64,1.67,1463
2016-03-31,1.67,1.67,1.6,1.64,9043
2016-04-01,1.7,1.7,1.61,1.68,3091
2016-04-04,1.68,1.68,1.64,1.67,941
2016-04-05,1.68,1.68,1.61,1.68,3366
2016-04-06,1.67,1.67,1.62,1.67,970
2016-04-07,1.67,1.68,1.61,1.68,14312
2016-04-08,1.69,1.7,1.67,1.7,1535
2016-04-11,1.72,2.07,1.71,1.97,82231
2016-04-12,2.05,2.05,1.85,1.89,51000
2016-04-13,1.9,2.09,1.82,1.98,47838
2016-04-14,1.98,2.05,1.92,1.96,49960
